Cell_ID,Drug_ID,Label
ACH-000001,36314,1
ACH-000007,36314,1
ACH-000009,36314,1
ACH-000012,36314,1
ACH-000018,36314,1
ACH-000019,36314,1
ACH-000024,36314,1
ACH-000035,36314,1
ACH-000040,36314,1
ACH-000042,36314,1
ACH-000046,36314,1
ACH-000047,36314,1
ACH-000048,36314,1
ACH-000052,36314,1
ACH-000054,36314,1
ACH-000056,36314,1
ACH-000060,36314,1
ACH-000061,36314,1
ACH-000062,36314,1
ACH-000065,36314,1
ACH-000067,36314,1
ACH-000070,36314,1
ACH-000072,36314,1
ACH-000073,36314,1
ACH-000074,36314,1
ACH-000075,36314,1
ACH-000087,36314,1
ACH-000090,36314,1
ACH-000092,36314,1
ACH-000094,36314,1
ACH-000096,36314,1
ACH-000098,36314,1
ACH-000099,36314,1
ACH-000102,36314,1
ACH-000105,36314,1
ACH-000107,36314,1
ACH-000111,36314,1
ACH-000112,36314,1
ACH-000113,36314,1
ACH-000114,36314,1
ACH-000118,36314,1
ACH-000120,36314,1
ACH-000129,36314,1
ACH-000132,36314,1
ACH-000137,36314,1
ACH-000139,36314,1
ACH-000144,36314,1
ACH-000147,36314,1
ACH-000148,36314,1
ACH-000149,36314,1
ACH-000151,36314,1
ACH-000153,36314,1
ACH-000155,36314,1
ACH-000161,36314,0
ACH-000169,36314,1
ACH-000171,36314,1
ACH-000176,36314,1
ACH-000178,36314,1
ACH-000181,36314,1
ACH-000183,36314,1
ACH-000186,36314,1
ACH-000188,36314,1
ACH-000190,36314,1
ACH-000201,36314,1
ACH-000204,36314,1
ACH-000207,36314,1
ACH-000211,36314,1
ACH-000219,36314,1
ACH-000221,36314,1
ACH-000222,36314,1
ACH-000226,36314,1
ACH-000231,36314,1
ACH-000235,36314,1
ACH-000236,36314,1
ACH-000242,36314,1
ACH-000244,36314,1
ACH-000245,36314,1
ACH-000247,36314,1
ACH-000248,36314,1
ACH-000260,36314,1
ACH-000264,36314,1
ACH-000270,36314,1
ACH-000271,36314,1
ACH-000288,36314,1
ACH-000291,36314,1
ACH-000295,36314,1
ACH-000304,36314,1
ACH-000308,36314,1
ACH-000309,36314,1
ACH-000311,36314,1
ACH-000315,36314,0
ACH-000320,36314,1
ACH-000322,36314,1
ACH-000323,36314,1
ACH-000330,36314,1
ACH-000335,36314,1
ACH-000341,36314,1
ACH-000343,36314,1
ACH-000346,36314,1
ACH-000347,36314,1
ACH-000348,36314,1
ACH-000350,36314,1
ACH-000353,36314,1
ACH-000356,36314,1
ACH-000359,36314,1
ACH-000361,36314,1
ACH-000363,36314,1
ACH-000364,36314,1
ACH-000365,36314,1
ACH-000366,36314,1
ACH-000372,36314,1
ACH-000375,36314,1
ACH-000376,36314,1
ACH-000378,36314,1
ACH-000380,36314,1
ACH-000381,36314,1
ACH-000383,36314,1
ACH-000384,36314,1
ACH-000386,36314,1
ACH-000389,36314,1
ACH-000392,36314,1
ACH-000396,36314,1
ACH-000400,36314,0
ACH-000403,36314,1
ACH-000408,36314,1
ACH-000410,36314,1
ACH-000411,36314,1
ACH-000414,36314,1
