Cell_ID,Drug_ID,Label
ACH-000002,176870,0
ACH-000004,176870,1
ACH-000006,176870,0
ACH-000008,176870,0
ACH-000038,176870,0
ACH-000055,176870,0
ACH-000059,176870,0
ACH-000078,176870,0
ACH-000081,176870,0
ACH-000104,176870,0
ACH-000106,176870,0
ACH-000115,176870,0
ACH-000124,176870,1
ACH-000136,176870,0
ACH-000146,176870,0
ACH-000157,176870,0
ACH-000159,176870,1
ACH-000162,176870,1
ACH-000168,176870,0
ACH-000189,176870,0
ACH-000196,176870,0
ACH-000198,176870,0
ACH-000200,176870,1
ACH-000218,176870,0
ACH-000225,176870,1
ACH-000227,176870,1
ACH-000249,176870,0
ACH-000254,176870,0
ACH-000258,176870,0
ACH-000267,176870,0
ACH-000269,176870,0
ACH-000273,176870,0
ACH-000287,176870,0
ACH-000290,176870,0
ACH-000294,176870,0
ACH-000301,176870,0
ACH-000303,176870,0
ACH-000305,176870,0
ACH-000318,176870,1
ACH-000326,176870,0
ACH-000327,176870,0
ACH-000336,176870,0
ACH-000355,176870,0
ACH-000358,176870,0
ACH-000362,176870,1
ACH-000371,176870,0
ACH-000373,176870,0
ACH-000394,176870,0
ACH-000399,176870,0
ACH-000401,176870,0
ACH-000432,176870,1
ACH-000438,176870,0
ACH-000439,176870,0
ACH-000440,176870,0
ACH-000441,176870,0
ACH-000452,176870,0
ACH-000465,176870,0
ACH-000491,176870,0
ACH-000504,176870,0
ACH-000508,176870,0
ACH-000515,176870,0
ACH-000525,176870,0
ACH-000534,176870,0
ACH-000551,176870,0
ACH-000559,176870,0
ACH-000567,176870,0
ACH-000586,176870,0
ACH-000605,176870,1
ACH-000610,176870,0
ACH-000641,176870,0
ACH-000644,176870,0
ACH-000655,176870,0
ACH-000664,176870,0
ACH-000691,176870,1
ACH-000697,176870,1
ACH-000702,176870,0
ACH-000703,176870,0
ACH-000706,176870,1
ACH-000722,176870,0
ACH-000729,176870,0
ACH-000733,176870,0
ACH-000743,176870,0
ACH-000751,176870,0
ACH-000755,176870,0
ACH-000767,176870,0
ACH-000772,176870,0
ACH-000786,176870,0
ACH-000787,176870,0
ACH-000800,176870,0
ACH-000803,176870,0
ACH-000806,176870,0
ACH-000815,176870,0
ACH-000816,176870,0
ACH-000821,176870,0
ACH-000861,176870,0
ACH-000864,176870,0
ACH-000871,176870,0
ACH-000874,176870,0
ACH-000935,176870,0
ACH-000937,176870,0
ACH-000944,176870,0
ACH-000969,176870,0
ACH-000981,176870,0
ACH-000998,176870,0
ACH-001106,176870,0
ACH-000002,65110,1
ACH-000006,65110,1
ACH-000007,65110,0
ACH-000008,65110,1
ACH-000009,65110,0
ACH-000012,65110,0
ACH-000019,65110,0
ACH-000020,65110,0
ACH-000023,65110,0
ACH-000024,65110,0
ACH-000038,65110,0
ACH-000040,65110,0
ACH-000042,65110,0
ACH-000046,65110,0
ACH-000047,65110,0
ACH-000048,65110,0
ACH-000050,65110,0
ACH-000054,65110,0
ACH-000055,65110,0
ACH-000056,65110,0
ACH-000059,65110,1
ACH-000061,65110,1
ACH-000062,65110,0
ACH-000065,65110,1
ACH-000067,65110,0
ACH-000070,65110,1
ACH-000072,65110,0
ACH-000073,65110,0
ACH-000074,65110,0
ACH-000075,65110,0
ACH-000078,65110,0
ACH-000081,65110,0
ACH-000082,65110,0
ACH-000087,65110,0
ACH-000091,65110,0
ACH-000092,65110,0
ACH-000099,65110,0
ACH-000102,65110,0
ACH-000103,65110,0
ACH-000104,65110,0
ACH-000105,65110,1
ACH-000106,65110,0
ACH-000111,65110,0
ACH-000113,65110,1
ACH-000114,65110,0
ACH-000117,65110,0
ACH-000118,65110,0
ACH-000120,65110,0
ACH-000121,65110,0
ACH-000124,65110,0
ACH-000129,65110,0
ACH-000132,65110,0
ACH-000136,65110,1
ACH-000137,65110,0
ACH-000138,65110,0
ACH-000139,65110,0
ACH-000142,65110,0
ACH-000146,65110,0
ACH-000147,65110,0
